
314,STT,State Street Corporation,22.80B,73.87,-1.31%,12.06B
315,ILMN,"Illumina, Inc.",22.71B,143.01,-2.85%,4.47B
316,PHM,"PulteGroup, Inc.",22.54B,104.56,-0.94%,16.94B
317,NVR,"NVR, Inc.",22.49B,"7,075.29",-0.64%,9.60B
318,BRO,"Brown & Brown, Inc.",22.07B,77.56,-0.95%,4.26B
319,DTE,DTE Energy Company,21.74B,105.42,0.82%,13.83B
320,STE,STERIS plc,21.63B,218.95,0.36%,5.23B
321,PTC,PTC Inc.,21.58B,180.65,-1.85%,2.10B
322,BLDR,"Builders FirstSource, Inc.",21.43B,173.73,-1.52%,17.30B
323,EBAY,eBay Inc.,21.32B,41.07,-2.10%,10.06B
324,ARE,"Alexandria Real Estate Equities, Inc.",21.15B,120.90,-0.25%,2.89B
325,ETR,Entergy Corporation,21.10B,99.76,-0.49%,12.70B
326,FE,FirstEnergy Corp.,21.05B,36.68,-0.22%,12.90B
327,WRB,W. R. Berkley Corporation,21.01B,81.88,0.31%,11.94B
328,ROL,"Rollins, Inc.",20.96B,43.31,-0.55%,2.98B
329,DOV,Dover Corporation,20.95B,149.78,-1.12%,8.47B
330,FLT,"FLEETCOR Technologies, Inc.",20.93B,289.93,-2.36%,3.70B
331,MOH,"Molina Healthcare, Inc.",20.78B,356.44,0.35%,33.25B
332,JBHT,"J.B. Hunt Transport Services, Inc.",20.75B,200.98,-1.79%,13.18B
333,IFF,International Flavors & Fragrances Inc.,20.60B,80.68,-0.40%,11.62B
334,EXPE,"Expedia Group, Inc.",20.60B,148.33,-2.23%,12.57B
335,ALGN,"Align Technology, Inc.",20.47B,267.32,0.97%,3.86B
336,LYV,"Live Nation Entertainment, Inc.",20.46B,88.85,0.02%,21.20B
337,VRSN,"VeriSign, Inc.",20.31B,198.88,-1.45%,1.48B
338,INVH,Invitation Homes Inc.,20.15B,32.93,-0.45%,2.39B
339,HPE,Hewlett Packard Enterprise Company,19.88B,15.29,-3.78%,29.14B
340,TDY,Teledyne Technologies Incorporated,19.75B,418.47,-2.29%,5.63B
341,IRM,Iron Mountain Incorporated,19.72B,67.52,-1.08%,5.34B
342,GPC,Genuine Parts Company,19.66B,140.23,-2.11%,23.03B
343,BAX,Baxter International Inc.,19.63B,38.69,-0.03%,14.95B
344,VTR,"Ventas, Inc.",19.62B,46.39,-1.30%,4.38B
345,STLD,"Steel Dynamics, Inc.",19.53B,120.69,-1.44%,18.80B
346,WBA,"Walgreens Boots Alliance, Inc.",19.46B,22.57,-0.83%,142.41B
347,DRI,"Darden Restaurants, Inc.",19.41B,162.58,-0.74%,11.01B
348,CBOE,"Cboe Global Markets, Inc.",19.41B,183.57,0.17%,3.81B
349,PPL,PPL Corporation,19.31B,26.20,0.69%,8.57B
350,CCL,Carnival Corporation & plc,19.17B,16.58,0.67%,21.59B
351,TRGP,Targa Resources Corp.,18.94B,84.96,-2.39%,16.38B
352,ES,Eversource Energy,18.94B,54.22,-1.08%,12.25B
353,VLTO,Veralto Corporation,18.89B,76.69,-2.09%,-
354,LH,Laboratory Corporation of America Holdings,18.87B,222.30,-1.79%,13.54B
355,PFG,"Principal Financial Group, Inc.",18.86B,79.10,-2.04%,14.10B
356,WAT,Waters Corporation,18.79B,317.71,-3.25%,3.00B
357,K,Kellanova Co,18.76B,54.76,-0.96%,15.87B
358,CTRA,Coterra Energy Inc.,18.71B,24.88,-1.70%,6.60B
359,AXON,"Axon Enterprise, Inc.",18.66B,249.06,-2.04%,1.47B
360,AKAM,"Akamai Technologies, Inc.",18.59B,123.23,-1.15%,3.74B
361,WDC,Western Digital Corporation,18.56B,57.25,-1.50%,11.26B
362,COO,"The Cooper Companies, Inc.",18.47B,373.03,-0.58%,3.59B
363,HBAN,Huntington Bancshares Incorporated,18.43B,12.73,-2.97%,7.23B
364,EXPD,"Expeditors International of Washington, Inc.",18.37B,126.33,-1.68%,10.46B
365,AEE,Ameren Corporation,18.29B,69.57,-0.66%,7.93B
366,MKC,"McCormick & Company, Incorporated",18.26B,68.16,-1.60%,6.66B
